Case.ID,Task.Label,Timestamp,Salary,Amount,Coverage,Cost,AssessmentType,AssessmentCost,Result
1,SubmitLoanApplication,2018-10-15T16:06:26.031+11:00,91000,55000,,,,,
1,CheckCareer,2018-10-15T16:26:56.031+11:00,,,5,,,,
1,CheckMedicalHistory,2018-10-15T18:00:06.031+11:00,,,,20,,,
1,AssessApplication,2018-10-15T18:56:47.031+11:00,,,,,Simple,10,
1,NotifyOutcome,2018-10-15T19:15:17.031+11:00,,,,,,,Accepted
2,SubmitLoanApplication,2018-10-15T20:03:20.031+11:00,31000,67000,,,,,
2,AssessApplication,2018-10-15T20:13:42.031+11:00,,,,,Simple,60,
2,CheckCareer,2018-10-15T20:41:52.031+11:00,,,14,,,,
2,CheckMedicalHistory,2018-10-15T22:51:20.031+11:00,,,,130,,,
2,NotifyOutcome,2018-10-15T23:16:33.031+11:00,,,,,,,Accepted
3,SubmitLoanApplication,2018-10-16T00:49:43.031+11:00,52000,95000,,,,,
3,AssessApplication,2018-10-16T00:53:06.031+11:00,,,,,Simple,80,
3,CheckCareer,2018-10-16T00:59:27.031+11:00,,,11,,,,
3,CheckMedicalHistory,2018-10-16T02:16:50.031+11:00,,,,150,,,
3,NotifyOutcome,2018-10-16T02:22:53.031+11:00,,,,,,,Rejected
4,SubmitLoanApplication,2018-10-16T04:37:15.031+11:00,58000,70000,,,,,
4,AssessApplication,2018-10-16T05:50:39.031+11:00,,,,,Simple,70,
4,CheckCareer,2018-10-16T06:22:29.031+11:00,,,7,,,,
4,CheckMedicalHistory,2018-10-16T07:02:48.031+11:00,,,,230,,,
4,NotifyOutcome,2018-10-16T07:16:47.031+11:00,,,,,,,Rejected
5,SubmitLoanApplication,2018-10-16T08:17:52.031+11:00,56000,71000,,,,,
5,AssessApplication,2018-10-16T08:28:52.031+11:00,,,,,Simple,20,
5,CheckCareer,2018-10-16T10:38:12.031+11:00,,,15,,,,
5,CheckMedicalHistory,2018-10-16T10:58:05.031+11:00,,,,190,,,
5,NotifyOutcome,2018-10-16T11:03:00.031+11:00,,,,,,,Rejected
